State,id,Total
Alabama,1,15
Alaska,2,0
Arizona,4,85
Arkansas,5,6
California,6,842
Colorado,8,79
Connecticut,9,24
Delaware,10,9
Florida,12,177
Georgia,13,61
Hawaii,15,0
Idaho,16,4
Illinois,17,144
Indiana,18,40
Iowa,19,10
Kansas,20,30
Kentucky,21,21
Louisiana,22,10
Maine,23,5
Maryland,24,94
Massachusetts,25,62
Michigan,26,39
Minnesota,27,71
Mississippi,28,2
Missouri,29,39
Montana,30,3
Nebraska,31,10
Nevada,32,29
New Hampshire,33,8
New Jersey,34,69
New Mexico,35,9
New York,36,160
North Carolina,37,65
North Dakota,38,2
Ohio,39,193
Oklahoma,40,12
Oregon,41,32
Pennsylvania,42,96
Rhode Island,44,9
South Carolina,45,21
South Dakota,46,0
Tennessee,47,26
Texas,48,226
Utah,49,11
Vermont,50,2
Virginia,51,107
Washington,53,64
West Virginia,54,6
Wisconsin,55,20
Wyoming,56,1
